year,contribution
2025,130000
2026,132600
2027,135252
2028,137957
2029,140716
2030,143531
2031,146401
2032,149329
2033,152316
2034,155362
2035,158469
2036,161639
2037,164871
2038,168169
2039,171532
2040,174963
2041,178462
2042,182031
2043,185672
2044,189385
2045,193173
2046,197037
2047,200977
2048,204997
2049,209097
2050,213279
2051,217544
2052,221895
2053,226333
2054,230860
2055,235477
2056,240187
2057,244990
2058,249890
2059,254888
2060,259986
2061,265185
2062,270489
2063,275899
2064,281417
